code_insee_com,nom_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
54323,Longwy,Centres urbains intermédiaires,285,49.521,5.766,98.1,12.0,6.0,3.0,5.8,14.8,10.2,3.2,2061.0,9651.0
54324,Lorey,Rural à habitat très dispersé,277,48.497,6.315,47.0,10.0,3.0,1.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54325,Loromontzey,Rural à habitat dispersé,330,48.43,6.37,64.95,8.5,4.0,2.5,7.1,15.1,11.65,2.35,2682.0,10758.5
54326,Lubey,Rural à habitat dispersé,250,49.244,5.855,67.75,10.0,5.0,2.0,5.7,16.6,10.2,3.3,2073.0,8863.0
54327,Lucey,Rural à habitat dispersé,270,48.723,5.829,57.0,10.0,5.0,1.0,6.0,14.1,11.7,3.3,2725.0,11344.0
54328,Ludres,Ceintures urbaines,213,48.621,6.173,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54329,Lunéville,Centres urbains intermédiaires,246,48.592,6.498,61.2,10.0,4.0,2.0,6.9,15.8,11.2,2.75,3195.0,11925.0
54330,Lupcourt,Bourgs ruraux,277,48.602,6.221,47.0,10.0,3.0,1.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54331,Magnières,Rural à habitat dispersé,246,48.444,6.566,61.2,10.0,4.0,2.0,4.8,14.9,10.1,2.2,2735.5,10980.5
54332,Maidières,Ceintures urbaines,180,48.896,6.036,61.0,9.0,4.0,2.0,6.75,17.2,9.4,3.3,2424.5,10055.5
54333,Mailly-sur-Seille,Rural à habitat dispersé,220,48.918,6.251,58.15,10.0,4.0,2.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54334,Mairy-Mainville,Rural à habitat dispersé,250,49.305,5.855,67.75,10.0,5.0,2.0,5.8,14.8,10.2,3.3,2061.0,9651.0
54335,Maixe,Rural à habitat dispersé,216,48.648,6.438,61.55,11.0,5.0,2.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54336,Maizières,Bourgs ruraux,285,48.591,6.049,41.15,9.0,3.0,1.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54337,Malavillers,Rural à habitat dispersé,373,49.358,5.866,66.1,11.0,4.0,2.0,5.8,14.8,10.2,3.3,2061.0,9651.0
54338,Malleloy,Ceintures urbaines,213,48.792,6.168,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54339,Malzéville,Grands centres urbains,213,48.722,6.19,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54340,Mamey,Rural à habitat dispersé,306,48.88,5.956,59.3,10.5,4.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54343,Mandres-aux-Quatre-Tours,Rural à habitat dispersé,227,48.828,5.79,59.7,11.0,4.0,1.0,4.4,16.2,10.1,2.8,2725.0,11344.0
54344,Mangonville,Rural à habitat dispersé,350,48.451,6.289,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.3,3371.0,12129.0
54345,Manoncourt-en-Vermois,Rural à habitat dispersé,277,48.602,6.27,47.0,10.0,3.0,1.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54346,Manoncourt-en-Woëvre,Rural à habitat dispersé,270,48.782,5.919,57.0,10.0,5.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54348,Manonville,Rural à habitat dispersé,270,48.831,5.915,57.0,10.0,5.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54349,Manonviller,Rural à habitat dispersé,246,48.591,6.663,61.2,10.0,4.0,2.0,5.1,16.2,11.2,2.75,2825.5,11342.0
54350,Marainviller,Bourgs ruraux,246,48.598,6.608,61.2,10.0,4.0,2.0,6.9,15.8,11.2,2.75,2735.5,10980.5
54351,Marbache,Bourgs ruraux,213,48.79,6.09,54.05,10.0,4.0,2.0,5.1,14.0,9.4,3.3,2514.0,10589.0
54352,Maron,Bourgs ruraux,213,48.658,6.058,54.05,10.0,4.0,2.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54353,Mars-la-Tour,Bourgs ruraux,239,49.097,5.885,41.4,8.0,3.0,1.0,5.7,16.6,10.2,3.3,2073.0,8863.0
54354,Marthemont,Rural à habitat très dispersé,285,48.559,6.037,41.15,9.0,3.0,1.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54355,Martincourt,Rural à habitat dispersé,270,48.848,5.952,57.0,10.0,5.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54356,Mattexey,Rural à habitat dispersé,246,48.439,6.522,61.2,10.0,4.0,2.0,4.8,14.9,10.1,2.2,2735.5,10980.5
54357,Maxéville,Grands centres urbains,213,48.709,6.15,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54358,Mazerulles,Rural à habitat dispersé,255,48.755,6.379,52.5,10.0,4.0,1.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54359,Méhoncourt,Rural à habitat dispersé,216,48.512,6.38,61.55,11.0,5.0,2.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54360,Ménil-la-Tour,Rural à habitat dispersé,270,48.774,5.848,57.0,10.0,5.0,1.0,6.0,14.1,11.7,3.3,2725.0,11344.0
54362,Mercy-le-Bas,Rural à habitat dispersé,285,49.385,5.758,98.1,12.0,6.0,3.0,5.0,15.0,10.0,2.9,2061.0,9651.0
54363,Mercy-le-Haut,Rural à habitat dispersé,373,49.37,5.825,66.1,11.0,4.0,2.0,5.8,14.8,10.0,2.9,2061.0,9651.0
54364,Méréville,Ceintures urbaines,285,48.591,6.138,41.15,9.0,3.0,1.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54365,Merviller,Rural à habitat dispersé,305,48.474,6.779,63.6,10.0,4.0,2.0,5.8,15.9,10.0,2.2,2825.5,11342.0
54366,Messein,Ceintures urbaines,213,48.61,6.142,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54367,Mexy,Ceintures urbaines,285,49.502,5.786,98.1,12.0,6.0,3.0,5.8,14.8,10.2,3.2,2061.0,9651.0
54368,Mignéville,Rural à habitat dispersé,305,48.534,6.783,63.6,10.0,4.0,2.0,5.8,15.9,10.0,2.2,2825.5,11342.0
54369,Millery,Bourgs ruraux,213,48.815,6.14,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54370,Minorville,Rural à habitat dispersé,270,48.81,5.88,57.0,10.0,5.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54371,Moineville,Rural à habitat dispersé,235,49.197,5.948,56.1,10.0,4.0,1.0,5.7,16.6,10.2,3.3,2424.5,10055.5
54372,Moivrons,Rural à habitat dispersé,220,48.828,6.248,58.15,10.0,4.0,2.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54373,Moncel-lès-Lunéville,Rural à habitat dispersé,246,48.564,6.562,61.2,10.0,4.0,2.0,6.9,15.8,11.2,2.75,2735.5,10980.5
54374,Moncel-sur-Seille,Rural à habitat dispersé,255,48.769,6.424,52.5,10.0,4.0,1.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54375,Montauville,Ceintures urbaines,180,48.896,6.001,61.0,9.0,4.0,2.0,6.75,17.2,9.4,3.3,2424.5,10055.5
54376,Montenoy,Rural à habitat dispersé,220,48.793,6.236,58.15,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
