code_insee_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Insolation_med,Rayonnement_med,Force_vent_med,Tens_vap_med
68285,Rural à habitat dispersé,220,48.219,7.366,54.7,9.0,4.0,1.0,7.2,15.5,2954.5,11067.5,1.5,9.7
68286,Ceintures urbaines,263,47.639,7.542,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68287,Bourgs ruraux,273,47.969,7.273,67.4,10.0,4.0,2.0,6.9,15.9,2889.0,11057.0,2.0,9.6
68288,Rural à habitat dispersé,480,47.556,7.258,77.2,11.0,5.0,3.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68289,Ceintures urbaines,245,47.822,7.353,58.7,9.0,4.0,2.0,5.7,15.9,2896.5,11362.5,2.6,9.9
68290,Rural à habitat dispersé,193,47.941,7.475,29.75,8.5,1.5,0.0,5.9,16.2,2792.0,11234.5,2.8,9.7
68291,Bourgs ruraux,193,47.853,7.518,29.75,8.5,1.5,0.0,5.9,16.2,2792.0,11234.5,2.8,9.7
68292,Petites villes,400,47.888,7.041,92.4,11.0,6.0,3.0,5.25,13.1,2434.0,9871.5,4.0,7.6
68293,Rural à habitat dispersé,365,47.681,7.054,65.05,11.0,4.0,2.0,5.3,15.65,2838.0,10474.0,2.3,10.7
68294,Bourgs ruraux,545,48.268,7.208,103.5,12.0,7.0,4.0,3.9,13.3,2040.0,8681.0,4.7,7.8
68295,Petites villes,193,48.011,7.394,29.75,8.5,1.5,0.0,4.9,14.5,3019.5,11070.0,2.2,9.9
68296,Ceintures urbaines,220,48.239,7.346,54.7,9.0,4.0,1.0,7.2,15.5,2954.5,11067.5,1.5,9.7
68297,Grands centres urbains,263,47.602,7.541,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68298,Bourgs ruraux,545,48.229,7.169,103.5,12.0,7.0,4.0,2.5,8.7,2040.0,8681.0,4.7,7.8
68299,Rural à habitat dispersé,347,47.591,7.112,77.75,10.0,5.0,2.5,6.5,16.1,2838.0,10474.0,2.7,10.0
68300,Ceintures urbaines,245,47.782,7.401,58.7,9.0,4.0,2.0,5.7,15.9,2896.5,11362.5,2.6,9.9
68301,Bourgs ruraux,263,47.684,7.43,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68302,Bourgs ruraux,304,47.749,7.176,74.0,10.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68303,Rural à habitat dispersé,332,47.608,7.299,63.8,10.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68304,Bourgs ruraux,383,47.754,7.05,78.8,10.0,5.5,3.0,4.0,14.7,2838.0,10474.0,2.3,9.8
68305,Bourgs ruraux,347,47.538,7.168,77.75,10.0,5.0,2.5,6.5,16.1,2838.0,10474.0,2.7,10.0
